40	1
65	1
45	0
60	0
75	0
40	0
40	0
50	0
70	0
80	0
55	0
*	0
*	0
65	0
55	0
75	0
45	0
60	0
55	0
65	0
*	0
65	0
65	0
60	0
60	0
75	0
50	0
55	0
80	0
80	0
55	0
*	1
65	1
60	1
*	1
70	1
75	0
50	0
60	0
45	0
60	0
40	0
*	0
50	0
65	0
75	0
75	0
05	0
*	0
60	0
*	0
55	0
60	0
*	0
70	0
65	0
50	0
80	0
80	0
75	0
85	0
55	0
*	0
50	0
30	1
30	1
40	1
*	1
55	1
65	1
70	0
65	0
80	0
80	0
70	0
35	0
75	0
50	0
60	0
80	0
80	0
*	0
85	0
80	0
*	0
85	0
85	0
*	0
90	0
85	0
60	0
55	0
70	0
70	0
80	0
60	0
50	0
55	0
70	0
70	0
75	0
70	0
70	0
65	0
50	1
