40	4
65	2
45	4
60	5
75	3
40	1
40	1
50	3
70	1
80	1
55	1
*	*
*	*
65	1
55	2
75	1
45	1
60	2
55	1
65	1
*	*
65	1
65	2
60	1
60	1
75	1
50	1
55	1
80	3
80	2
55	2
*	*
65	2
60	1
*	*
70	2
75	2
50	2
60	1
45	2
60	1
40	1
*	*
50	1
65	2
75	1
75	1
25	1
*	*
60	3
*	*
55	3
60	3
*	*
70	2
65	1
50	2
80	1
80	1
75	1
85	1
55	1
*	*
50	1
30	1
30	1
40	1
*	*
55	1
65	1
70	2
65	1
80	1
80	1
70	2
35	1
75	2
50	1
60	2
80	1
80	2
*	*
85	2
80	2
*	*
85	2
85	2
*	*
90	1
85	2
60	1
55	1
70	2
70	2
80	2
60	1
50	1
55	1
70	2
70	2
75	2
70	1
70	1
65	1
50	1
